Guide Name,Guide ID,Guide URL,Author,Views,Subjects,Tags
IAS 300 - Career Strategies and Personal Resilience,263973,https://libguides.asu.edu/ias300,Brad Vogus,182,General,None
IEE 594: Industrial Engineering Graduate Seminar ,264298,https://libguides.asu.edu/IEE594,Eric Prosser,148,Engineering and Computer Science,engineering industrial
Indigenous Leadership Academy - AIPI,1195971,https://libguides.asu.edu/IndigenousLeadership,Alexander Soto,159,"American Indian Studies, Arizona and Southwestern Studies, Education, History, Politics and Social Justice, Social Sciences","AIPI, employment law, Indigenous Peoples, Labriola, Leadership Academy, Policy"
Industrial Engineering,263753,https://libguides.asu.edu/ie,Eric Prosser,75,Engineering and Computer Science,"design, engineering, industrial, industrial design, operations, systems"
Interdisciplinary Studies,466765,https://libguides.asu.edu/idslibguide,Joyce Martin,111,"Business and Economics, Multidisciplinary",BIS
Interlibrary Loan,714144,https://libguides.asu.edu/interlibraryloan,Mary Plummer,794,None,None
International Studies (Polytechnic campus),741127,https://libguides.asu.edu/intlstudies,Olivia Sparks,64,"Ethnic & International Studies, Politics and Social Justice","international politics, international relations"
Islamic Studies,1404087,https://libguides.asu.edu/IslamicStudies,Dan Stanton,83,"Ethnic & International Studies, Religious Studies and Philosophy","religion_religious, studies_islamic"
Japanese Studies,263798,https://libguides.asu.edu/JapaneseStudies,Qian Liu,142,"Arts and Humanities, Ethnic & International Studies, Humanities, Interdisciplinary Studies, International Studies and Relations, Languages and Linguistics","asian_studies, japan, japanese, japanese_studies"
Jewish Studies,263728,https://libguides.asu.edu/jewish_studies,Rachel Leket-Mor,140,"Ethnic & International Studies, Humanities, Religious Studies and Philosophy","jewish_studies, judaica, religious_studies"
JUS 301 / 501: Research Methods in Justice Studies,264281,https://libguides.asu.edu/JUS301,Mimmo Bonanni,41,Politics and Social Justice,"criminal justice, criminology, JUS301, JUS501, justice studies, literature review, research methods"
"JUS 430 Social Protest, Conflict, and Change",1508579,https://libguides.asu.edu/JUS430,Joyce Martin,101,None,None
Justice and Social Inquiry,263840,https://libguides.asu.edu/justice,Mimmo Bonanni,77,Politics and Social Justice,"criminal justice, criminology, incarceration, inequality, justice, justice studies, policing, restorative justice, social inquiry, social justice"
K-12 Teaching Resources,263869,https://libguides.asu.edu/teachingresources,Timothy Feller,254,Education,"children's_literature, classroom_management, classroom_resources, education_standards, elementary, secondary, special_education, teaching"
Kelmscott Press and Victorian Medievalism,1140093,https://libguides.asu.edu/kelmscott-exhibit,Debra Riley-Huff,194,"Art, Dance, Film and Theater, Design and Architecture, Humanities, Literature","exhibit, kelmscott, william morris"
Latin American Jewish Culture,264461,https://libguides.asu.edu/Latin_American_Jewish_Culture,Rachel Leket-Mor,39,"Ethnic & International Studies, Humanities, Social Sciences",None
Library Digital Credentials,1388492,https://libguides.asu.edu/digitalcredentials,Jessica Jenner,0,None,None
Library Resources for Instructional Designers,340011,https://libguides.asu.edu/ids,Charisa Deremiah,44,"Education, General, Multidisciplinary","""asu library reading lists"", ""asu library resource organizer"", ""asu online"", ""course resource organizer"", ""course resource services"", badges, citation, crs, digital credentials, faculty, faculty orientation, instruction, instruction librarian, instructional design, instructional designers, instructional librarian, learning, learning badges, liblessons, library learning badges, library tutorials, lro, teaching, tutorials"
Library Resources for Thunderbirds,557006,https://libguides.asu.edu/thunderbirdlibrary,Wes Edens,111,Business and Economics,None
Life Sciences,263766,https://libguides.asu.edu/lifesciences,Olivia Sparks,347,"Life Sciences, Sciences, Sustainability and Environment",None
LIN 597: MTESOL Capstone,1076745,https://libguides.asu.edu/lin597,Joe Buenker,46,Languages and Linguistics,Teaching of English as a Second or Other Language
Literature Reviews and Annotated Bibliographies,264095,https://libguides.asu.edu/LiteratureReviews,Shannon Nickle,"1,624","General, History",None
Manifestos and Radical Writing,615939,https://libguides.asu.edu/manifesto,Cami Garland,219,None,"breanne fahs, hate speech, jhr, manifestos, mas, radical feminism, radicalism, social justice, women and gender studies, wst"
March Mammal Madness,512323,https://libguides.asu.edu/MarchMammalMadness,Anali Perry,"81,813",None,None
"Martin Luther King, Jr. (1929-1968)",1167012,https://libguides.asu.edu/mlk,Joe Buenker,245,"Arts and Humanities, Biographies, Education, English, History, Humanities, Interdisciplinary Studies, Languages and Linguistics, Literature, Multidisciplinary, Philosophy, Social Sciences",None
Materials Science and Engineering,263771,https://libguides.asu.edu/mse,Eric Prosser,149,"Engineering and Computer Science, Sciences","lasengsubjectlist, materials, materials_science"
Mathematics and Statistical Sciences,263792,https://libguides.asu.edu/mathstats,Karalyn Ostler,86,"Mathematics and Physics, Sciences","math, mathematics, pll, statistical_sciences"
Mechanical and Aerospace Engineering,263764,https://libguides.asu.edu/mae,Eric Prosser,82,Engineering and Computer Science,"aerospace_engineering, automotive_engineering, lasengsubjectlist, mechanical_engineering"
Media Literacy,1063134,https://libguides.asu.edu/media-literacy,Joe Buenker,84,None,None
MIC 401: Research Paper,264263,https://libguides.asu.edu/mic401,Olivia Sparks,37,None,"mic 401, microbiology, research paper"
Misinformation,1442432,https://libguides.asu.edu/misinformation,Sierra Schuman,351,None,None
MKT 302 Applied Marketing Management &amp; Leadership,497241,https://libguides.asu.edu/MKT302,Wes Edens,387,Business and Economics,None
MKT 303: Honors Marketing Theory &amp; Practice,1482243,https://libguides.asu.edu/MKT303,Wes Edens,124,Business and Economics,None
MKT 365: Advertising Management,558642,https://libguides.asu.edu/MKT365,Wes Edens,43,Business and Economics,marketing
MKT 395: Essentials of Advertising and Marketing Communication,559830,https://libguides.asu.edu/MKT395,Wes Edens,41,Business and Economics,marketing
MKT 550: Product Management &amp;amp; Innovation,1325874,https://libguides.asu.edu/mkt550,Wes Edens,192,Business and Economics,"marketing, marketing_plans, olsen"
MKT 561: Customer Centric Research and Innovation,1408122,https://libguides.asu.edu/mkt561,Wes Edens,53,Business and Economics,"marketing, olsen"
MKT Brand Intelligence,1075649,https://libguides.asu.edu/MKTBrands,Wes Edens,125,None,None
Motion Pictures: Research Topics Browse,1044299,https://libguides.asu.edu/motion-pictures,Joe Buenker,162,"Art, Dance, Film and Theater","Educational videos, Featured films, Film and Media Studies, streaming video, Video recordings"
Movement Sciences and Kinesiology,263737,https://libguides.asu.edu/movementscienceskinesiology,Kevin Pardon,87,"Health Sciences, Nursing","activity, exercise, exw, health, healthy, kinesiology, lifestyles, mindfulness, movement sciences, physical, promotion, science, sport, wellness"
Museum Studies,264144,https://libguides.asu.edu/museumstudies,Mimmo Bonanni,55,"Anthropology and Archeology, Art, Dance, Film and Theater","art history, conservation, cultural heritage, cultural institutions, curation, exhibitions, herberger, museology, museum, museum education, museum studies, public history, shesc"
Music Resources,1483462,https://libguides.asu.edu/musicresources,Joe Buenker,207,"Art, Dance, Film and Theater, Arts and Humanities, Humanities, Music","Herberger Institute for Design and the Arts, School of Music Dance and Theatre"
MVS 402 Technology and Warfare,1401581,https://libguides.asu.edu/mvs402,Cami Garland,38,None,None
Native American Heritage Month,1429557,https://libguides.asu.edu/nahm,Eric Hardy,66,None,"Indigenous Peoples, Labriola, Native American Heritage Month"
Naturespace,1147225,https://libguides.asu.edu/NatureSpace,Christina Sullivan,181,"General, Life Sciences, Sciences, Sustainability and Environment","ASU Nature Maker, ASU Nature Space, Biomimicry, Nature, NatureMaker, Naturespace"
New College Writing Program Library Guide,264286,https://libguides.asu.edu/researchandwriting,Mimmo Bonanni,883,Literature,"composition, new college, reading, reflection, research, writing, writing guide"
New York Times Academic Access,958094,https://libguides.asu.edu/NYTgrouppass,Trilby VanDeusen,0,Multidisciplinary,Newspaper
NEWS - Finding and Tracking Reliable News,1142240,https://libguides.asu.edu/news,Cami Garland,223,"Communication, History, Journalism, Multidisciplinary","news, Newspaper"
NIH 2023 Data Management and Sharing Policy (DMS Policy),1265563,https://libguides.asu.edu/NIH-2023-DMS,Matthew Harp,48,Health Sciences,"data management, National Institutes of Health, NIH"
Nobel Prize in Literature,264388,https://libguides.asu.edu/nobel-prize-literature,Joe Buenker,545,"Languages and Linguistics, Literature","Alfred Nobel, Nobel Prize in Literature, Writing prize"
Nursing,263769,https://libguides.asu.edu/nursing,Kevin Pardon,663,"Health Sciences, Nursing",None
Nutrition,263738,https://libguides.asu.edu/nutrition,Kevin Pardon,175,"Health Sciences, Nursing","food_science, ntr, ntr 500, nutrition"
O&#039;odham Meal Box Project,1224893,https://libguides.asu.edu/oodhammealbox,Alexander Soto,98,None,None
OGL 520 Social Psychological Perspectives in Organizational Leadership,1104431,https://libguides.asu.edu/OGL520,Wes Edens,60,"Business and Economics, Social Sciences",organizational_leadership
OGL 530,1304741,https://libguides.asu.edu/ogl530,Wes Edens,65,None,None
OGL 540 Evidence-based Inquiry in Organizational Leadership,1002624,https://libguides.asu.edu/OGL540,Wes Edens,210,"Organizational Leadership, Social Sciences",research methods
OGL 570: Analyzing Organizations,1271704,https://libguides.asu.edu/ogl570,Wes Edens,87,Organizational Leadership,"Lueck, organizational assessment"
Olsen,1370732,https://libguides.asu.edu/olsen,Wes Edens,149,None,None
One Search,686832,https://libguides.asu.edu/primo-info,Olivia Wallace,"1,173",None,None
Open Access,559833,https://libguides.asu.edu/openaccess,Anali Perry,420,General,"open_access, open_education, open_education_resources; oers, publishing, scholarly_communication"
Open Education,264412,https://libguides.asu.edu/OpenEducation,Anali Perry,555,None,"open_access, open_education, open_education_resources; oers"
Patents,263812,https://libguides.asu.edu/patents,Eric Prosser,258,"Business and Economics, Engineering and Computer Science, General, Government Documents, Sciences","engineering, inventions, patents, technology"
Philosophy,1404418,https://libguides.asu.edu/philosophy,Dan Stanton,78,"Humanities, Religious Studies and Philosophy",None
Physics,263731,https://libguides.asu.edu/physics,Karalyn Ostler,103,"Mathematics and Physics, Sciences",physics
Political Science,263779,https://libguides.asu.edu/politicalscience,Brad Vogus,112,Politics and Social Justice,None
Popular Culture Studies,264062,https://libguides.asu.edu/Pop,Rachel Leket-Mor,101,"Humanities, Literature, Social Sciences",None
POS 446: Democracy,264290,https://libguides.asu.edu/democracy,Brad Vogus,50,None,None
Primary Sources - Historical Newspapers and Periodicals,754484,https://libguides.asu.edu/PS-Newspapers-Periodicals,Cami Garland,97,None,None
PSY 290 Research Methods in Psychology,264271,https://libguides.asu.edu/psy290,Shannon Nickle,499,Psychology,"psy_290, psy290, research_methods"
Psychology,263734,https://libguides.asu.edu/psychology,Shannon Nickle,"1,117","Psychology, Social Sciences",social_sciences
Publishing Translations,909242,https://libguides.asu.edu/c.php?g=909242,Seonaid Valiant,16,None,None
Queer Theory in Latin America Reading Lists,865366,https://libguides.asu.edu/c.php?g=865366,Seonaid Valiant,42,None,None
Rare Books and Manuscripts,264014,https://libguides.asu.edu/rare-books-manuscripts,Seonaid Valiant,212,"Art, Dance, Film and Theater, Education, Ethnic & International Studies, History, Humanities, Literature, Religious Studies and Philosophy, Social Sciences",special collections books manuscripts films authors herbal pre-raphaelite arts artists children youth
Research Data Management and Sharing,264208,https://libguides.asu.edu/data,Matthew Harp,521,"General, Multidisciplinary","compliance, funding requirements, open science, preservation, repositories, reproducibility"
Research Success for High School Students,815544,https://libguides.asu.edu/hsresearch,Mary Ann Naumann,"2,640",None,"AP, ASA, asu prep, BASIS, high school, National History Day, NHD, research, westwood"
Resources for International Teachers,264468,https://libguides.asu.edu/int_teachers,Timothy Feller,341,Education,"global education, international, international teachers, teachers, Teachers College"
Russia-Ukraine War,1224944,https://libguides.asu.edu/ukrainewar,Joe Buenker,67,"General, History, Humanities, Multidisciplinary, Politics and Social Justice","conflict, disinformation, Invasion, propaganda, Russia, Ukraine, war"
Russian and Slavic Studies,263825,https://libguides.asu.edu/Slavic,Joe Buenker,111,Ethnic & International Studies,"East European, Eastern Europe, Russia, Slavic, Soviet Union, Yugoslavia"
Scholarly Communication,263877,https://libguides.asu.edu/scholcomm,Anali Perry,288,General,"copyright, open_access, scholarly_communication"
SCM 593,902967,https://libguides.asu.edu/SCM593,Wes Edens,193,Business and Economics,"consulting, mba, project, supply chain management"
Scopus,1080400,https://libguides.asu.edu/scopusguide,Cat Dinh,619,None,None
Seed Library,264435,https://libguides.asu.edu/seedlibrary,Christina Sullivan,363,None,None
Selected online writings by David William Foster,1088290,https://libguides.asu.edu/c.php?g=1088290,Seonaid Valiant,18,None,None
"Shakespeare (William Shakespeare, 1564-1616)",1150801,https://libguides.asu.edu/shakespeare,Joe Buenker,268,Literature,None
Shakespeare at 400: From Fiction to Fact,1340796,https://libguides.asu.edu/shakespeare400,Joe Buenker,205,Literature,None
Slavery (Researching Slavery),1179470,https://libguides.asu.edu/slavery-research,Joe Buenker,388,"Ethnic & International Studies, History, Humanities, Interdisciplinary Studies, Multidisciplinary, Politics and Social Justice, Social Sciences",None
SOC 486 Contemporary Sociological Theory,377384,https://libguides.asu.edu/SOC486,Mimmo Bonanni,41,Sociology,"contemporary sociology, contemporary theory, soc486, social theory, sociological theory, theory"
Social Aspects of Fashion,1403262,https://libguides.asu.edu/fsh204,Mimmo Bonanni,238,"Art, Dance, Film and Theater, Humanities, Social Sciences","Anthropology, Cultural Studies, fashion, fashion design, fashion studies, FSH 204, Qualitative Research, Quantitative Research, Social Aspects of Fashion"
"Social Responsibility, Ecology, and Sustainability",263750,https://libguides.asu.edu/corp-sustain,Olivia Sparks,78,"Business and Economics, Sustainability and Environment","business, companies, corporations, ecology, social_responsibility, sustainability"
Social Science Data Resources,1038296,https://libguides.asu.edu/datasets,Mimmo Bonanni,108,None,None
Social Work,263783,https://libguides.asu.edu/socialwork,Joyce Martin,135,"Public Services, Social Sciences","social_sciences, social_work"
Sociology,263875,https://libguides.asu.edu/sociology,Joyce Martin,82,"Social Sciences, Sociology",social_sciences
Solar Energy Engineering and Commercialization,264430,https://libguides.asu.edu/solar,Eric Prosser,73,Engineering and Computer Science,solar energy electrical power generation renewable alternative
Southeast Asian Studies,263799,https://libguides.asu.edu/SoutheastAsianStudies,Qian Liu,182,"Arts and Humanities, Ethnic & International Studies, Humanities, Interdisciplinary Studies, International Studies and Relations, Languages and Linguistics","asian_studies, studies_islam_arabic_southeast"
Speech and Hearing Sciences,263878,https://libguides.asu.edu/SpeechHearingSciences,Kevin Pardon,72,Health Sciences,None
Sport Management,1084202,https://libguides.asu.edu/sportmanagement,Wes Edens,66,"Business and Economics, Health Sciences, Sports","global sport institute, sports management"
Standards (Engineering),263816,https://libguides.asu.edu/standards,Eric Prosser,682,Engineering and Computer Science,"engineering, information_technology, standards, technical_standards"
Supply Chain Management,264016,https://libguides.asu.edu/scm,Wes Edens,281,Business and Economics,"commodities, economic_indicators, industry_studies, prices, scm, transportation, warehousing"
Sustainability,263936,https://libguides.asu.edu/sustainability,Olivia Sparks,115,Sustainability and Environment,"environment, environmental, green, sustainability"
SWU 413 Practicum Seminar,1491019,https://libguides.asu.edu/swu413,Joyce Martin,48,None,None
TAM 505 - Navigating Global and Regional Business Environments,263839,https://libguides.asu.edu/disputes,Wes Edens,64,Business and Economics,"financial_crisis, global, imd, trade_disputes, worldbank, wto"
TCL 111: Introduction to Transborder Chicana/o &amp; Latina/o Culture,264455,https://libguides.asu.edu/tcl111,Nancy Godoy,23,None,None
TCL 210: Introduction to Ethnic Studies in the US,387531,https://libguides.asu.edu/tcl210,Nancy Godoy,19,None,None
TCL 326: Health of Chicanas and Latinas,376983,https://libguides.asu.edu/tcl326,Nancy Godoy,18,None,None
TCL 341: Latino Urban Policy ,264460,https://libguides.asu.edu/tcl341,Nancy Godoy,23,Ethnic & International Studies,"chicana, chicano, hispanic, latino, mexican american, transborder studies, urban policy"
TCL 351 - Transborder Art: Chicano/Latino Art and Culture,461610,https://libguides.asu.edu/tcl351,Nancy Godoy,21,None,None
TCL 360: Inequality and Diversity in Education,264472,https://libguides.asu.edu/tcl360,Nancy Godoy,27,"Education, Ethnic & International Studies","diversity, inequality, transborder studies"
TCL 373: Latina/ Chicana Issues,264473,https://libguides.asu.edu/tcl373,Nancy Godoy,30,Ethnic & International Studies,"chicana, hispanic, latina, mexican american, transborder studies, women studies"
TCL 394: Transborder Mexican Origin- Latino Psychology,378419,https://libguides.asu.edu/tcl394,Nancy Godoy,20,None,None
TEL 713: Qualitative Methods in Action Research,1489318,https://libguides.asu.edu/tel713,Joyce Martin,49,None,None
Tests and Psychological Measures,264315,https://libguides.asu.edu/tests,Shannon Nickle,208,"Psychology, Social Sciences","psychosocial_measures, tests"
Text and Data Mining,930846,https://libguides.asu.edu/textanddatamining,Karen Grondin,56,None,None
TGM 101: Principles of Global Management,398203,https://libguides.asu.edu/tgm101,Wes Edens,224,Business and Economics,"nelson, tgm101, Thunderbird"
TGM 353: Regional Management Environment - Asia,1178387,https://libguides.asu.edu/tgm353,Wes Edens,102,Regional Management Environment,"rbe, Sophal Ear, Thunderbird"
"TGM 537: State Power, Business Interests, and Multinational Trade Agreements",1325745,https://libguides.asu.edu/tgm537,Wes Edens,39,"Business and Economics, Politics and Social Justice","Gamso, Thunderbird"
TGM 551: Global Marketing Strategy,339760,https://libguides.asu.edu/tgm551,Wes Edens,38,Business and Economics,None
TGM 575: Global Affairs,1207471,https://libguides.asu.edu/tgm575,Wes Edens,134,"Business and Economics, International Studies and Relations","global affairs, intergovernmental organizations, international affairs, international relations, NGOs, thunderbird school of global management"
TGM 577: International Organizations,1171699,https://libguides.asu.edu/tgm577,Wes Edens,84,None,None
The Athletic Group Pass,1303644,https://libguides.asu.edu/athletic-pass,Trilby VanDeusen,0,"Multidisciplinary, Sports",Newspaper
Theatre for Youth and Community Collection,263991,https://libguides.asu.edu/theatre_for_youth,Harold Housley,159,"Art, Dance, Film and Theater, History, Humanities, Literature","children's_literature, primary sources, theatre"
Theatre Resources,264054,https://libguides.asu.edu/theatre,Dan Stanton,208,"Art, Dance, Film and Theater","performing arts, theater, theatre"
Therapeutic Recreation - Recreation Therapy,264032,https://libguides.asu.edu/therapeuticrecreation,Kevin Pardon,353,None,"Recreation therapy, Therapeutic Recreation"
Thunderbird CSR,1425440,https://libguides.asu.edu/csr,Wes Edens,54,Business and Economics,"corporate social responsibility, csr, social entrepreneurship, sustainability"
Thunderbird Global Challenge Lab,1147917,https://libguides.asu.edu/Challenge,Wes Edens,126,Business and Economics,GCL
Thunderbird School of Global Management Archives,264480,https://libguides.asu.edu/thunderbird,Shannon Walker,109,None,None
Trademarks,263813,https://libguides.asu.edu/trademarks,Eric Prosser,153,"Business and Economics, General, Government Documents","intellectual_property, trade_names, trademarks"
Transportation Engineering,263884,https://libguides.asu.edu/transportation,Eric Prosser,62,Engineering and Computer Science,"asphalt, engineering, lasengsubjectlist, pavement, traffic, transportation"
U.S. Civil War (1861-1865): Primary Sources,1298932,https://libguides.asu.edu/us-civil-war,Joe Buenker,328,"History, Humanities, Interdisciplinary Studies",None
U.S. Politics and Elections,263806,https://libguides.asu.edu/politics,Brad Vogus,51,Social Sciences,"2016 Elections, campaign_finance"
UNI 110: Critical Thinking and Inquiry,1459081,https://libguides.asu.edu/UNI110,Matt Ogborn,106,None,None
United Nations,447509,https://libguides.asu.edu/UnitedNations,Brad Vogus,142,Government Documents,"country_data, demographics, economic development, international, international trade, international_law, united nations"
Untold Histories,913383,https://libguides.asu.edu/untoldhistories,Nancy Godoy,31,"Ethnic & International Studies, History, Humanities, Politics and Social Justice, Women, Gender and Sexuality",None
Urban Planning Resources,264049,https://libguides.asu.edu/urbanplanning,Mimmo Bonanni,118,Sustainability and Environment,"city planning, community development, design, housing, land use, regional planning, transportation planning, urban planning, zoning"
Using ASU Library E-Resources,1436538,https://libguides.asu.edu/using-eresources,Trilby VanDeusen,"10,449",None,None
Visual Bibliographies,973224,https://libguides.asu.edu/VizBib,Rachel Leket-Mor,70,None,None
Wellness at ASU Library,1379358,https://libguides.asu.edu/studentwellness,Sierra Schuman,137,None,None
West BIO 182,879981,https://libguides.asu.edu/c.php?g=879981,Olivia Sparks,18,None,None
Why is the Amazon Burning? Visions of the Amazon: Imaginaries &amp; Realities-Ebooks and Rare Books (HUL 494/598),1068008,https://libguides.asu.edu/c.php?g=1068008,Seonaid Valiant,16,None,None
Women and Gender Studies,263924,https://libguides.asu.edu/wst,Mimmo Bonanni,118,"Women, Gender and Sexuality","feminism, gender, gender studies, intersectionality, lgbtq+, social justice, women, women studies"
Women&#039;s History Month,1218931,https://libguides.asu.edu/whm22,Cami Garland,94,"Women, Gender and Sexuality","gender, gender studies, herstory, intersectionality, women and gender studies, womens history, womens_studies"
Zines,496217,https://libguides.asu.edu/Zines,Rachel Leket-Mor,170,None,None
